Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5","2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6","2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7","2_Number of students in elementary and secondary schools_Public school Total, program type",2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Public school General programs for adults 6,2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Priviate school Total, program type",2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,3_Number of full-time and part-time educators_British Columbia 11,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population_British Columbia,7_Dependency ratio_British Columbia,9_Postsecondary enrolments_British Columbia
British Columbia_1991,"45,758","45,585",173,,,,,,,,,,,,,,,,,,"103,964","72,471","31,193","6,395","4,191","21,687","41,225","1,216","31,073","27,259","22,520","11,010","10,147","7,890","3,191","1,231",140,"4,626",-412,-408,-415,25,"43,018","28,551","22,189","5,649","14,168","4,164","10,201","47,386","20,299","15,893","4,607","28,520","15,839","12,854",-353,"126,535","131,680",,,
British Columbia_1992,"46,229","46,098",131,,,,,,,,,,,,,,,,,,"107,469","74,713","32,005","6,574","4,337","22,174","42,676","1,397","32,140","28,244","23,455","13,535","9,067","6,166","3,185","1,229",161,"4,638",-406,-406,-411,18,"45,157","28,645","22,089","5,873","16,268","5,405","11,021","49,588","22,244","17,752","4,615","28,498","15,346","13,256","-1,348","130,049","136,186",,,
British Columbia_1993,"46,141","46,007",134,,,,,,,,,,,,,,,,,,"110,549","77,151","33,350","6,773","4,558","23,162","43,730","1,518","32,588","28,462","23,560","13,875","8,591","5,649","3,091","1,603",184,"4,728",317,315,285,45,"46,950","30,141","22,911","6,599","16,509","5,295","11,403","49,290","23,269","18,605","4,783","26,703","13,791","12,946","-1,872","136,155","139,480",,,"144,663"
British Columbia_1994,"46,960","46,881",79,,,,,,,,,,,,,,,,,,"114,024","80,289","35,037","7,307","4,856","23,929","45,140","1,486","32,870","31,456","25,912","13,955","10,044","6,879","3,510","2,315",155,"5,438",707,707,660,62,"50,039","33,271","25,031","7,638","16,199","5,492","10,837","57,258","26,914","21,714","5,284","31,187","17,567","13,789",-16,"139,733","146,042",,,"145,371"
British Columbia_1995,"46,889","46,768",121,,,,,,,,,,,,,,,,,,"116,111","82,775","36,214","7,588","5,093","24,562","46,437","1,499","32,306","29,815","24,600","12,270","10,582","7,541","3,587","1,825",187,"5,053",602,600,570,35,"53,082","36,338","27,011","8,819","15,852","5,256","10,749","57,974","27,006","21,736","5,369","31,938","17,623","14,469",755,"143,402","146,436",,,"147,195"
British Columbia_1996,"46,221","46,095",126,,,,,,,,,,,,,,,,,,"120,169","85,806","36,716","7,716","5,122","24,931","49,043","1,812","32,946","29,834","24,294","12,459","10,164","6,661","3,675","1,841",173,"5,434",198,200,205,-17,"53,351","35,915","27,061","8,186","16,700","6,149","10,576","57,506","27,468","22,015","5,580","30,703","16,152","14,674",90,"147,052","150,523",,,"150,033"
British Columbia_1997,"44,634","44,545",89,,,,,,,,,,,,,,,,,,"123,991","89,016","38,290","8,449","5,316","25,408","50,657","2,382","32,876","32,310","27,333","13,071","12,230","8,876","4,066","1,946",221,"4,729",903,903,909,-43,"55,463","37,039","27,536","8,970","17,723","6,484","11,274","61,586","30,296","24,726","5,612","31,645","16,383","15,381",-124,"151,968","156,828",,,"154,824"
British Columbia_1998,"43,067","43,014",53,"631,446","615,798","15,648",0,"631,446","615,801","15,645",0,,,,,,,,,,"125,726","90,175","38,636","8,286","5,397","25,959","51,482","2,464","33,385","30,104","25,452","11,314","11,521","6,781","4,496","2,408",126,"4,532",256,257,209,81,"56,944","37,832","27,496","10,036","18,430","6,711","11,760","60,891","30,265","24,904","5,365","30,843","14,359","16,497",569,"153,811","156,401",,,"161,229"
British Columbia_1999,"41,977","41,906",71,"629,547","612,708","16,839",0,"629,544","612,708","16,839",0,,,,,,,,,,"128,421","92,443","39,768","8,763","5,511","26,426","52,606","2,611","33,624","30,541","25,097","10,499","12,054","7,527","4,517","2,077",146,"5,332","1,033","1,033","1,025",-18,"61,911","41,159","30,534","10,078","20,004","7,745","12,229","64,595","32,196","26,554","5,639","32,593","15,005","17,590",201,"159,162","159,552",,,"163,533"
British Columbia_2000,"40,664","40,598",66,"628,269","611,820","16,449",0,"628,269","611,820","16,449",0,,,,,,,,,,"132,591","95,344","41,171","9,472","5,680","26,797","54,090","2,628","34,897","31,611","26,065","10,563","12,463","7,289","4,897","2,513",170,"5,403","2,132","2,129","2,143",-73,"67,308","44,273","32,625","11,150","22,326","9,409","12,743","69,598","34,710","28,938","5,733","35,093","15,744","19,343",48,"166,405","164,808",,,"160,305"
